Category ID;Active (0/1);Name;Parent category;Root category (0/1);Meta title;Meta keywords;Meta description;URL rewritten
10;1;kobiety;;0;odzież damska;odzież damska;odzież damska;kobiety
11;1;mezczyzni;;0;odzież męska;odzież męska;odzież męska;mezczyzni
12;1;kurtki zimowe meskie;mezczyzni;0;kurtki zimowe meskie;kurtki zimowe meskie;kurtki zimowe meskie;kurtki-zimowe-meskie
13;1;kurtki zimowe damskie;kobiety;0;kurtki zimowe damskie;kurtki zimowe damskie;kurtki zimowe damskie;kurtki-zimowe-damskie
14;1;bluzy meskie;mezczyzni;0;bluzy meskie;bluzy meskie;bluzy meskie;bluzy-meskie
15;1;bluzy damskie;kobiety;0;bluzy damskie;bluzy damskie;bluzy damskie;bluzy-damskie
16;1;spodnie meskie;mezczyzni;0;spodnie meskie;spodnie meskie;spodnie meskie;spodnie-meskie
17;1;spodnie damskie;kobiety;0;spodnie damskie;spodnie damskie;spodnie damskie;spodnie-damskie
18;1;spodenki meskie;mezczyzni;0;spodenki meskie;spodenki meskie;spodenki meskie;spodenki-meskie
19;1;spodenki damskie;kobiety;0;spodenki damskie;spodenki damskie;spodenki damskie;spodenki-damskie
